latitude,longitude,frp
-30.532,150.836,21.8
-26.525,150.7,21.8
-33.839,150.445,21.8
-32.535,150.259,21.8
-32.615,150.216,21.8
-32.592,150.205,21.8
-34.853,150.133,21.8
-30.547,150.967,21.9
-32.552,150.401,21.9
-34.697,150.38,21.9
-34.751,150.257,21.9
-32.606,150.242,21.9
-32.572,150.193,21.9
-22.272,150.101,21.9
-36.107,149.997,21.9
-35.281,149.971,21.9
-36.332,149.931,21.9
-35.759,149.851,21.9
-37.451,149.837,21.9
-37.377,149.814,21.9
-35.864,149.731,21.9
-35.969,149.644,21.9
-35.929,149.563,21.9
-36.335,149.548,21.9
-37.377,149.463,21.9
-24.93,149.461,21.9
-22.821,149.424,21.9
-37.429,149.34,21.9
-25.41,149.251,21.9
-37.318,149.195,21.9
-37.387,149.177,21.9
-37.701,149.116,21.9
-37.703,149.056,21.9
-35.877,148.716,21.9
-22.845,148.618,21.9
-35.656,148.532,21.9
-35.957,148.309,21.9
-35.746,148.298,21.9
-36.592,148.2,21.9
-41.659,148.079,21.9
-27.413,147.918,21.9
-36.084,147.628,21.9
-37.382,147.549,21.9
-37.578,147.544,21.9
-36.928,146.67,21.9
-17.021,144.003,21.9
-14.718,143.75,21.9
-17.893,143.404,21.9
-19.447,143.371,21.9
-16.306,137.724,21.9
-35.664,137.134,21.9
-28.949,128.777,21.9
-32.883,123.613,21.9
-32.413,123.6,21.9
-32.278,123.309,21.9
-32.701,122.161,21.9
-32.452,122.005,21.9
-32.011,121.495,21.9
-20.459,118.559,21.9
-21.898,115.762,21.9
-30.436,151.045,22
-29.115,150.814,22
-34.344,150.326,22
-34.951,150.112,22
-32.697,150.083,22
-36.462,149.916,22
-27.235,149.873,22
-36.017,149.831,22
-35.873,149.716,22
-36.032,149.542,22
-37.44,149.507,22
-36.059,149.45,22
-21.934,149.344,22
-37.427,149.185,22
-37.209,149.176,22
-37.248,149.117,22
-37.64,149.009,22
-37.37,148.907,22
-35.947,148.753,22
-37.404,148.482,22
-35.592,148.479,22
-35.894,148.4,22
-35.852,148.317,22
-35.748,148.265,22
-35.805,148.237,22
-20.389,148.216,22
-35.611,148.183,22
-36.293,148.183,22
-36.799,148.15,22
-36.698,148.116,22
-35.895,148.079,22
-41.733,148.05,22
-41.654,147.998,22
-35.454,147.989,22
-37.64,147.726,22
-35.859,147.63,22
-37.645,147.586,22
-37.467,147.492,22
-20.744,147.489,22
-37.061,147.29,22
-36.755,145.582,22
-13.39,143.047,22
-16.67,137.943,22
-35.859,136.595,22
-18.584,124.241,22
-32.902,124.2,22
-32.689,123.398,22
-32.302,123.249,22
-23.019,115.522,22
-31.44,151.779,22.1
-32.165,151.423,22.1
-32.605,150.761,22.1
-33.188,150.134,22.1
-36.246,150.01,22.1
-35.729,149.999,22.1
-36.452,149.98,22.1
-37.467,149.765,22.1
-37.399,149.758,22.1
-37.373,149.749,22.1
-36.057,149.739,22.1
-37.417,149.699,22.1
-35.985,149.667,22.1
-37.427,149.663,22.1
-37.178,149.607,22.1
-37.34,149.491,22.1
-24.928,149.474,22.1
-37.115,149.439,22.1
-37.475,149.217,22.1
-25.46,149.199,22.1
-37.594,148.973,22.1
-37.606,148.957,22.1
-35.839,148.788,22.1
-35.535,148.363,22.1
